Index	Date	Time	Readings (øF)	Type
346	10/7/2013	5:15:00 PM	36.4	
347	10/7/2013	5:50:00 PM	36.5	
348	10/7/2013	6:25:00 PM	36.4	
349	10/7/2013	7:00:00 PM	36.3	
350	10/7/2013	7:35:00 PM	36.4	
351	10/7/2013	8:10:00 PM	36.3	
352	10/7/2013	8:45:00 PM	36.3	
353	10/7/2013	9:20:00 PM	36.3	
354	10/7/2013	9:55:00 PM	36.3	
355	10/7/2013	10:30:00 PM	36.3	
356	10/7/2013	11:05:00 PM	36.3	
357	10/7/2013	11:40:00 PM	36.2	
358	10/8/2013	12:15:00 AM	36.2	
359	10/8/2013	12:50:00 AM	36.1	
360	10/8/2013	1:25:00 AM	36	
361	10/8/2013	2:00:00 AM	36	
362	10/8/2013	2:35:00 AM	35.9	
363	10/8/2013	3:10:00 AM	35.9	
364	10/8/2013	3:45:00 AM	35.9	
365	10/8/2013	4:20:00 AM	35.8	
366	10/8/2013	4:55:00 AM	35.8	
367	10/8/2013	5:30:00 AM	35.7	
368	10/8/2013	6:05:00 AM	35.6	
369	10/8/2013	6:40:00 AM	35.6	
370	10/8/2013	7:15:00 AM	35.5	
371	10/8/2013	7:50:00 AM	35.4	
372	10/8/2013	8:25:00 AM	35.4	
373	10/8/2013	9:00:00 AM	35.3	
374	10/8/2013	9:35:00 AM	35.3	
375	10/8/2013	10:10:00 AM	35.3	
376	10/8/2013	10:45:00 AM	35.3	
377	10/8/2013	11:20:00 AM	35.4	
378	10/8/2013	11:55:00 AM	35.4	
379	10/8/2013	12:30:00 PM	35.5	
380	10/8/2013	1:05:00 PM	35.6	
381	10/8/2013	1:40:00 PM	35.6	
382	10/8/2013	2:15:00 PM	35.7	
383	10/8/2013	2:50:00 PM	35.8	
384	10/8/2013	3:25:00 PM	35.9	
385	10/8/2013	4:00:00 PM	36	
386	10/8/2013	4:35:00 PM	36	
387	10/8/2013	5:10:00 PM	35.9	
388	10/8/2013	5:45:00 PM	35.9	
389	10/8/2013	6:20:00 PM	35.8	
390	10/8/2013	6:55:00 PM	35.8	
391	10/8/2013	7:30:00 PM	35.7	
392	10/8/2013	8:05:00 PM	35.7	
393	10/8/2013	8:40:00 PM	35.6	
394	10/8/2013	9:15:00 PM	35.6	
395	10/8/2013	9:50:00 PM	35.5	
396	10/8/2013	10:25:00 PM	35.3	
397	10/8/2013	11:00:00 PM	35.3	
398	10/8/2013	11:35:00 PM	35.2	
399	10/9/2013	12:10:00 AM	35.2	
400	10/9/2013	12:45:00 AM	35.1	
401	10/9/2013	1:20:00 AM	34.9	
402	10/9/2013	1:55:00 AM	34.9	
403	10/9/2013	2:30:00 AM	34.8	
404	10/9/2013	3:05:00 AM	34.7	
405	10/9/2013	3:40:00 AM	34.6	
406	10/9/2013	4:15:00 AM	34.4	
407	10/9/2013	4:50:00 AM	34.3	
408	10/9/2013	5:25:00 AM	34.3	
409	10/9/2013	6:00:00 AM	34.1	
410	10/9/2013	6:35:00 AM	33.9	
411	10/9/2013	7:10:00 AM	33.9	
412	10/9/2013	7:45:00 AM	33.8	
413	10/9/2013	8:20:00 AM	33.5	
414	10/9/2013	8:55:00 AM	33.4	
415	10/9/2013	9:30:00 AM	33.2	
416	10/9/2013	10:05:00 AM	33.1	
417	10/9/2013	10:40:00 AM	32.9	
418	10/9/2013	11:15:00 AM	32.9	
419	10/9/2013	11:50:00 AM	32.8	
420	10/9/2013	12:25:00 PM	32.7	
421	10/9/2013	1:00:00 PM	32.6	
422	10/9/2013	1:35:00 PM	32.4	
423	10/9/2013	2:10:00 PM	32.2	
424	10/9/2013	2:45:00 PM	32.2	
425	10/9/2013	3:20:00 PM	32.2	
426	10/9/2013	3:55:00 PM	32.1	
427	10/9/2013	4:30:00 PM	32.1	
428	10/9/2013	5:05:00 PM	32	
429	10/9/2013	5:40:00 PM	31.7	
430	10/9/2013	6:15:00 PM	31.6	
431	10/9/2013	6:50:00 PM	31.6	
432	10/9/2013	7:25:00 PM	31.4	
433	10/9/2013	8:00:00 PM	31.1	
434	10/9/2013	8:35:00 PM	30.9	
435	10/9/2013	9:10:00 PM	31	
436	10/9/2013	9:45:00 PM	31	
437	10/9/2013	10:20:00 PM	31	
438	10/9/2013	10:55:00 PM	31	
439	10/9/2013	11:30:00 PM	31	
440	10/10/2013	12:05:00 AM	30.9	
441	10/10/2013	12:40:00 AM	31	
442	10/10/2013	1:15:00 AM	30.9	
443	10/10/2013	1:50:00 AM	30.9	
444	10/10/2013	2:25:00 AM	30.8	
